type1,classifier1,class1,type2,classifier2,class2,overlap
AlertsOfInterest,FINK_PORTAL,Variable*,AlertsOfInterest,FINK_PORTAL,Variable*,8.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*_Candidate,AlertsOfInterest,FINK_PORTAL,LongPeriodV*_Candidate,7.0
SourcesOfInterest,FINK_PORTAL,LongPeriodV*_Candidate,SourcesOfInterest,FINK_PORTAL,LongPeriodV*_Candidate,7.0
SourcesOfInterest,FINK_PORTAL,BYDraV*,SourcesOfInterest,FINK_PORTAL,BYDraV*,6.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-3,6.0
AlertsOfInterest,FINK_PORTAL,RRLyrae,AlertsOfInterest,FINK_PORTAL,RRLyrae,6.0
SourcesOfInterest,FINK_PORTAL,Ambiguous,SourcesOfInterest,FINK_PORTAL,Ambiguous,6.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FEATURES,FC-3,6.0
AlertsOfInterest,FINK_PORTAL,Ambiguous,AlertsOfInterest,FINK_PORTAL,Ambiguous,6.0
AlertsOfInterest,FINK_PORTAL,BYDraV*,AlertsOfInterest,FINK_PORTAL,BYDraV*,6.0
SourcesOfInterest,FINK_PORTAL,RRLyrae,SourcesOfInterest,FINK_PORTAL,RRLyrae,6.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,LongPeriodV*,5.0
SourcesOfInterest,FINK_PORTAL,LongPeriodV*,SourcesOfInterest,FEATURES,FC-4,5.0
AlertsOfInterest,FINK_PORTAL,Microlensing candidate,AlertsOfInterest,FINK_PORTAL,Microlensing candidate,5.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,LongPeriodV*,5.0
SourcesOfInterest,FINK_PORTAL,Microlensing candidate,SourcesOfInterest,FINK_PORTAL,Microlensing candidate,5.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*,AlertsOfInterest,FEATURES,FC-4,5.0
SourcesOfInterest,FINK_PORTAL,Em*,SourcesOfInterest,FINK_PORTAL,Em*,5.0
