objectId,collect_list(fid),collect_list(magpsf),collect_list(jd),collect_list(class),maxclass
ZTF18abdpxwz,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.6097726;-2.5958931;-0.26884758;-1.737613;-0.343899;-0.85131556;-0.12669854;-0.6590884;0.34759668;-0.3316462;0.4557898;0.20769003;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abikqec,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,1.1398077;0.94178647;0.17314383;0.3821627;-0.28965122;0.06898123;0.3950001;0.15495637;1.1961178;0.13302836;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF19abdyodh,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.3719476;1.4099734;0.259825;0.6245481;0.14398107;0.06949152;-0.17129882;-0.07882199;-0.17597209;-0.003907405;0.13543779;0.29990563;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abiibwk,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.9184793;0.58600295;-0.23879556;0.007494621;0.008448616;-0.15794417;-0.15906511;-0.2694437;0.35117215;-0.13837883;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abckmnc,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.69726586;-3.434358;-0.03613822;-2.7099686;-0.05707605;-1.7113667;0.36430782;-1.1408713;0.62666434;-0.79076904;0.41118437;-0.24128097;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abebxgj,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.47665513;-2.8914034;-0.106447294;-2.0404577;-0.01225999;-1.0445733;-0.061006963;-0.77647305;0.038849972;-0.68459386;0.094365805;-0.2185055;-0.058470413;0.37690735;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abmapwr,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.39170784;0.16358782;0.1270945;0.022096794;-0.5123471;-0.051247068;-0.6645825;-0.13307042;-0.6070324;0.07522346;-0.18341284;0.5000962;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF19abpszzv,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.7525651;-3.0540636;-0.14702465;-2.1779244;0.15526344;-1.2100456;0.114876226;-0.89238995;0.17670187;-0.76384866;0.254296;-0.5869556;0.2663995;-0.27691057;0.012971565;0.09636742,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18aaydzzm,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.7286298;-3.8018386;0.023737274;-3.1019788;0.13560995;-2.24633;0.6721782;-1.5273383;1.0304965;-1.1194344;0.9885149;-0.6135009;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
ZTF18abmntbi,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.6361187;-1.5475068;-0.14137496;-1.0240238;0.051527433;-0.5101471;-0.25065243;-0.51173025;-0.0829732;-0.6125029;0.3375888;-0.569736;0.5406142;-0.40582362;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown,Unknown
